"","x"
"1",40.996067392429
"2",192.369144544329
"3",0.184435816189654
"4",28.1876259052156
"5",3372.82231940387
"6",9898.84978230167
"7",6019.2121033603
"8",59399160779849.8
"9",2.8087967264442
"10",28.2130519153784
"11",2.23931151321273
"12",4.52086104723859
