"","x"
"1",39.1496882504637
"2",197.552080163985
"3",0.217505383110783
"4",24.957331546363
"5",3372.80214979709
"6",9898.85536204566
"7",6015.85097285396
"8",59399031952048.5
"9",4.97804648897762
"10",25.10304887714
"11",3.88380814696382
"12",1.16876661020295
